일련번호,발령일,발령시간,발령지역,발령권역,농도,해제날짜,해제시간
193,2024-03-29,01:00,서울,서울권역,251,2024-03-29,03:00
194,2024-03-29,13:00,서울,서울권역,141,2024-03-29,15:00
195,2024-03-29,08:00,세종,세종권역,190,2024-03-29,14:00
196,2024-03-29,13:00,경남,양산권역,302,2024-03-29,16:00
197,2024-03-29,09:00,강원,영동남부,322,2024-03-29,10:00
198,2024-03-29,15:00,강원,영동남부,132,2024-03-30,00:00
199,2024-03-29,06:00,강원,영동북부,257,2024-03-29,08:00
200,2024-03-29,06:00,강원,영서남부,298,2024-03-29,08:00
201,2024-03-29,16:00,강원,영서남부,109,2024-03-30,01:00
202,2024-03-29,05:00,강원,영서북부,280,2024-03-29,07:00
203,2024-03-29,16:00,강원,영서북부,136,2024-03-29,21:00
204,2024-03-29,01:00,인천,영종·영흥권역,285,2024-03-29,03:00
205,2024-03-29,11:00,인천,영종·영흥권역,144,2024-03-29,12:00
206,2024-03-29,18:00,경북,울릉권역,203,2024-03-30,02:00
207,2024-03-29,12:00,울산,울산권역,156,2024-03-29,18:00
208,2024-03-29,12:00,경남,의령권역,260,2024-03-29,15:00
209,2024-03-29,02:00,경기,중부권,339,2024-03-29,03:00
210,2024-03-29,13:00,경기,중부권,103,2024-03-29,14:00
211,2024-03-29,13:00,부산,중부권역,261,2024-03-29,17:00
212,2024-03-29,11:00,전북,중부권역,211,2024-03-29,13:00
213,2024-03-29,06:00,충북,중부권역,170,2024-03-29,15:00
214,2024-03-29,13:00,경남,진주권역,193,2024-03-29,17:00
215,2024-03-29,13:00,경남,창녕권역,224,2024-03-29,15:00
216,2024-03-29,13:00,경남,창원권역,236,2024-03-29,15:00
217,2024-03-29,12:00,경남,통영권역,184,2024-03-29,14:00
218,2024-03-29,12:00,경남,함안권역,272,2024-03-29,15:00
219,2024-03-29,08:00,경남,함양권역,193,2024-03-29,15:00
220,2024-03-29,03:00,인천,강화권역,391,2024-03-29,12:00
221,2024-03-29,04:00,경기,남부권,368,2024-03-29,14:00
222,2024-03-29,03:00,인천,동남부권역,376,2024-03-29,12:00
223,2024-03-29,04:00,경기,동부권,370,2024-03-29,15:00
224,2024-03-29,12:00,대전,동부권역,308,2024-03-29,14:00
225,2024-03-29,04:00,경기,북부권,362,2024-03-29,14:00
226,2024-03-29,06:00,충남,북부권역,334,2024-03-29,13:00
227,2024-03-29,12:00,충북,북부권역,363,2024-03-29,15:00
228,2024-03-29,03:00,인천,서부권역,374,2024-03-29,12:00
229,2024-03-29,03:00,서울,서울권역,370,2024-03-29,13:00
230,2024-03-29,10:00,강원,영동남부,320,2024-03-29,15:00
231,2024-03-29,08:00,강원,영동북부,323,2024-03-29,15:00
232,2024-03-29,08:00,강원,영서남부,379,2024-03-29,16:00
233,2024-03-29,07:00,강원,영서북부,304,2024-03-29,16:00
234,2024-03-29,03:00,인천,영종·영흥권역,406,2024-03-29,11:00
235,2024-03-29,03:00,경기,중부권,346,2024-03-29,13:00
236,2024-03-29,00:00,인천,강화권역,258,2024-03-29,03:00
237,2024-03-19,18:00,전남,중부권,208,2024-03-19,20:00
238,2024-03-19,20:00,제주,제주권역,172,2024-03-19,22:00
239,2024-03-19,17:00,전남,서부권,294,2024-03-19,19:00
240,2024-03-19,19:00,전남,동부권,180,2024-03-19,21:00
241,2024-03-19,18:00,광주,광주권역,172,2024-03-19,20:00
242,2024-03-18,01:00,경남,함안권역,151,2024-03-18,03:00
243,2024-03-17,23:00,경남,거창권역,162,2024-03-18,01:00
244,2024-03-17,16:00,광주,광주권역,175,2024-03-17,23:00
245,2024-03-17,20:00,대구,군위권역,248,2024-03-18,03:00
246,2024-03-17,13:00,경기,남부권,190,2024-03-17,21:00
247,2024-03-17,19:00,충북,남부권역,236,2024-03-17,23:00
248,2024-03-17,22:00,대구,대구권역,213,2024-03-18,02:00
249,2024-03-17,12:00,인천,동남부권역,217,2024-03-17,18:00
250,2024-03-17,16:00,충남,동남부권역,182,2024-03-17,22:00
251,2024-03-17,13:00,경기,동부권,180,2024-03-17,20:00
252,2024-03-17,15:00,대전,동부권역,152,2024-03-17,22:00
253,2024-03-17,18:00,전북,동부권역,195,2024-03-17,23:00
254,2024-03-17,12:00,경기,북부권,264,2024-03-17,14:00
255,2024-03-17,17:00,경기,북부권,139,2024-03-17,18:00
256,2024-03-17,13:00,충남,북부권역,248,2024-03-17,15:00
257,2024-03-17,19:00,충남,북부권역,125,2024-03-17,20:00
258,2024-03-17,18:00,충북,북부권역,208,2024-03-18,00:00
259,2024-03-17,15:00,전남,서부권,196,2024-03-17,21:00
260,2024-03-17,20:00,경북,서부권역,206,2024-03-18,02:00
261,2024-03-17,18:00,대전,서부권역,221,2024-03-17,22:00
262,2024-03-17,12:00,인천,서부권역,251,2024-03-17,14:00
263,2024-03-17,17:00,인천,서부권역,146,2024-03-17,18:00
264,2024-03-17,14:00,전북,서부권역,295,2024-03-17,19:00
265,2024-03-17,13:00,충남,서부권역,246,2024-03-17,19:00
266,2024-03-17,13:00,서울,서울권역,229,2024-03-17,19:00
267,2024-03-17,14:00,세종,세종권역,156,2024-03-17,21:00
268,2024-03-17,16:00,강원,영동북부,153,2024-03-17,18:00
269,2024-03-17,16:00,강원,영서북부,188,2024-03-17,20:00
270,2024-03-17,11:00,인천,영종·영흥권역,221,2024-03-17,13:00
